Gene	test_allele_count	test_gnomAD_allele_count_iCFgCFadjust	test_P_rvexcaliber_base_iCFgCFadjust
CNN2	1569	11.7225699987316	0
FAM136A	117	8.35683165525002	0
FCGBP	2065	130.883188610102	0
KRT18	954	18.806083450022	0
LILRA1	1392	81.9614517249879	0
LILRA2	3321	33.8261051125874	0
LILRA4	231	23.5098067594978	0
LILRB2	1327	22.5789742713509	0
MUC16	1993	352.792332122225	0
MUC6	2871	313.019374718447	0
OR1B1	187	21.3204000777887	0
P2RX5	188	32.0385431613917	0
POM121	153	51.5053501004667	0
PRSS1	854	9.18112684100904	0
PRSS3	349	39.1488196302922	0
SIGLEC12	135	23.312583654686	0
TAS2R19	603	25.1867112219108	0
TAS2R30	989	46.1517689378474	0
TAS2R31	259	14.7956822705792	0
TAS2R46	1593	330.225970077461	0
TTN	262	44.5123905128704	0
ZNF208	156	37.9401299039938	0
DEFB126	102	32.1999637570037	3.40838468559923e-14
DHDH	74	13.9165870697366	8.74189609589848e-13
AKAP3	71	11.5431917217761	1.6538992397841e-12
EFCAB13	90	32.4245224746671	4.16801038127801e-11
PILRB	110	45.9940795735533	1.28763222306816e-10
NEB	47	8.27665335327221	1.57799519007185e-08
WDR89	67	13.2750323322818	3.19458751674162e-08
CYP2D6	51	12.3998500059334	4.72203960377726e-08
NPSR1	211	150.922906946698	5.49610689737356e-07
OR7G3	39	9.72423108627746	1.09346497467744e-06
XIRP2	36	6.90056300707825	2.81671064294997e-06
MOK	25	5.67170141713235	2.84423500648279e-05
MYO9B	23	4.82805161291959	3.88402259976495e-05
CCHCR1	52	26.0612939162211	5.22499842107171e-05
DNAH5	50	22.5883578030626	6.68374905222757e-05
PDE4DIP	27	7.36987399780729	6.72384368989309e-05
LYST	24	6.51194903293785	9.49693799400242e-05
PCDHB4	99	55.682105624423	0.0001254974743925
CSMD3	26	6.35453335221922	0.000145663849458799
OR4A16	47	16.2984794598375	0.000150159219158619
LRRC37A3	49	25.5587285445989	0.000261681030119032
MYH7B	23	6.9598071541747	0.000262699768064922
UMODL1	22	5.80414911096289	0.000321793584741603
AMPD1	85	55.1516340086583	0.000397388856875236
SERPINA1	44	23.5569828644249	0.000539327807833834
PRAMEF2	216	96.4367081781673	0.00131519668552238
C17orf97	65	34.4005904992733	0.00139846784905495
KLHL1	16	3.72073409425336	0.00148545350125973
CP	14	3.432115150446	0.00195534103605466
GXYLT1	36	11.0127912602511	0.0020854173414977
LRP1B	29	13.4008856103718	0.00237754988349448
MYO10	15	4.38393894267685	0.00251341427706631
CLEC18B	30	15.1503010541585	0.00302575023258533
MSR1	14	4.01272212231198	0.00320071071403161
TMX3	14	4.50405365273159	0.00475719804045538
GREB1	27	14.1756571743964	0.00504953516549111
USF3	13	3.6878533942359	0.0067408797827847
GPAT2	13	3.66907858584105	0.00712704436335887
DNAH11	41	25.3102288178835	0.00832030070102219
GBGT1	13	3.919886991611	0.00857264772866984
SLC9B1	71	46.2699165135608	0.0113914544893192
MIA2	21	8.21600221634197	0.0138946583411749
POM121C	63	46.0222509685678	0.0166801743465366
CEP164	14	5.87159851004209	0.0192697791603748
PKHD1L1	53	38.6525539758394	0.0201671862162364
PSG9	10	3.66463295110628	0.0210711698926124
LRRC37B	56	40.4191989282277	0.0212653963139474
PRH2	29	18.764224871981	0.0276360929545089
DNAH7	39	27.5818770787798	0.0277117954259117
TPR	9	3.401339850382	0.0294604069362761
GPRC6A	52	39.2587559226029	0.0304154846828982
ABCC6	10	4.15951310692223	0.0304649590164916
TBC1D31	12	5.63859773071004	0.0421080434834823
ANAPC1	9	4.22847962704516	0.0536507884392331
LTN1	8	3.66374888871735	0.05872437182708
TEX15	20	12.8999386764592	0.0688986106730453
TNRC6A	43	23.531340902907	0.0723155799101367
SLC22A9	8	3.44754160051483	0.0731941949148487
OR51I2	16	10.4135017305168	0.076529507287341
CACNA1B	8	4.0679938335608	0.0798784903284167
LAMA5	38	29.4449687734	0.0821573839370989
NUP153	21	14.8807779236025	0.0884077437886595
PRB3	8	3.77803312636469	0.0890439693493597
HEATR1	25	18.1357305445542	0.0913109294870282
ABI3BP	9	5.10288767804695	0.0914907508939707
OR51A4	30	22.8404541603699	0.0932947663189977
TMEM255B	7	3.58279448061501	0.0961971231181818
PTPRD	10	6.03458851585475	0.0988912376597424
RNF212	9	5.19918063547097	0.0996634189829816
MUC21	51	38.9095435575066	0.10546526789208
REV3L	27	17.3824462437765	0.118097399156486
CDHR5	16	11.3945101419865	0.133987301451334
ZNF626	17	12.1130161469691	0.138218074120915
CEBPZ	17	12.1686669121325	0.141055752862334
ZC3H3	10	6.660362553917	0.142082148450098
NUP98	16	11.3628769547235	0.145477279277119
ATXN1	15	10.8647008367095	0.146757012045502
SNX19	9	5.88635386069862	0.146830129841093
ATP1A4	11	7.02594410802945	0.158866740281429
IL12RB1	9	6.09513765080753	0.160125705712226
DNA2	15	11.3269068555181	0.166598140466193
TPK1	31	25.5436448782277	0.168425668791612
TTC16	16	12.3186131479141	0.173492395168288
MMEL1	16	12.3270018719372	0.173944709221193
PITPNM2	10	7.11168480218395	0.177339518130763
CYSLTR2	24	16.6465641300504	0.179954446994879
CSH1	14	10.6827624421792	0.183113243688809
UNC13D	14	9.82759797669971	0.183742360500166
SGO2	17	13.023756066086	0.188838291463341
ZNF846	16	12.5800694064691	0.190813028793347
ZFP57	13	6.91192886489874	0.1912665451057
FREM1	15	11.7206583528239	0.193009835417902
ANKMY1	11	8.16724855137248	0.193087011044997
AFAP1L2	7	4.7918674957689	0.196206387189592
GALNT11	17	13.3685198618192	0.197687105968323
VWA3A	16	12.2630974167684	0.200387562212763
RALGAPA2	16	12.5743334687774	0.201475873895768
LNX1	6	3.97253883725368	0.202143809437404
MFSD6L	18	12.9472745184717	0.203682628151738
C20orf194	15	11.8735084558904	0.204854441831643
ACAN	20	16.4116380282586	0.205010786723958
FAT2	66	59.0419759031799	0.20795437755926
RPL3L	15	11.9149205684063	0.208046548013681
SYNRG	18	14.2454897513414	0.208436502411321
DCP1A	17	12.7446575565715	0.209375139562568
OR2B3	9	4.03463256444679	0.20985570093062
ZNF623	15	11.3745090290768	0.211067577623619
PCDHB10	16	12.9249886495078	0.216083576867661
NPHP3	17	13.7121473309612	0.216989183931432
GLDN	19	15.4007877019426	0.221567324432207
FCHO1	17	13.9246410823321	0.22229279425961
SCAF11	19	15.7817245608302	0.228126815446764
CFH	15	12.0007861733073	0.229581094463574
CEP250	17	13.7847398650076	0.230481482967002
HELZ2	19	15.5589082009086	0.231501282475336
NAT10	14	11.3343051969267	0.233762063820872
SIRPB1	8	4.20546716007653	0.235538010305666
ATP8B1	18	15.0784714474553	0.236033411092588
PITRM1	6	4.25157438551821	0.236199710471417
BLVRB	16	13.2349953780659	0.239840861871234
LAMC1	18	15.1340306223894	0.240135382525409
BPTF	19	15.5499234395462	0.241054319568286
MAP3K13	13	9.1092783462648	0.24134076773355
NFATC4	15	12.3731873707074	0.244440410602493
RBP3	15	12.4170445539412	0.248043125337385
SNCAIP	15	12.0583013616607	0.24932320699443
ASTN1	15	12.2613800295069	0.249430097846565
